real_region	n_bins	rand_start	rand_end	p_spatial	p_directional	p_combined
Trbv1	125	41041800	41066800	1	1	1
Trbv1	125	41515600	41540600	1	1	1
Trbv1	125	41009000	41034000	0.415919	0.291256	0.376841
Trbv1	125	40993400	41018400	0.762293	0.539682	0.776797
Trbv1	125	41254400	41279400	0.762293	0.539682	0.776797
Trbv1	125	41459400	41484400	0.168509	0.559397	0.316882
Trbv1	125	41320200	41345200	0.0530513	0.374252	0.0976709
Trbv1	125	41606400	41631400	1	1	1
Trbv1	125	41549200	41574200	0.415919	0.291256	0.376841
Trbv1	125	41449000	41474000	0.168509	0.559397	0.316882
Trbv1	125	41317600	41342600	0.0530513	0.374252	0.0976709
Trbv1	125	41043600	41068600	1	1	1
Trbv1	125	41151000	41176000	0.762293	0.460318	0.718379
Trbv1	125	41117400	41142400	1	1	1
Trbv1	125	41600600	41625600	1	1	1
Trbv1	125	41162600	41187600	0.762293	0.460318	0.718379
Trbv1	125	40889400	40914400	1	1	1
Trbv1	125	41360400	41385400	0.415919	0.211893	0.302194
Trbv1	125	41632200	41657200	1	1	1
Trbv1	125	41549000	41574000	0.415919	0.291256	0.376841
Trbv1	125	41029800	41054800	0.762293	0.539682	0.776797
Trbv1	125	41187000	41212000	0.762293	0.460318	0.718379
Trbv1	125	41254600	41279600	0.762293	0.539682	0.776797
Trbv1	125	41006800	41031800	0.415919	0.291256	0.376841
Trbv1	125	41025000	41050000	0.762293	0.539682	0.776797
Trbv1	125	40997000	41022000	0.415919	0.291256	0.376841
Trbv1	125	41660200	41685200	0.762293	0.539682	0.776797
Trbv1	125	41442600	41467600	0.168509	0.440603	0.267312
Trbv1	125	41504400	41529400	1	1	1
Trbv1	125	41629200	41654200	1	1	1
